title,year,album,artist,lyrics,lyricist,metaphors
කඳුල ඉතින් සමා වෙයන්,2004,කඳුල,කීර්ති පැස්කුවෙල්,"කඳුල ඉතින් සමා වෙයන්
අපි වෙන් වෙමු අද හවසට
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න

කඳුල ඉතින් සමා වෙයන්
අපි වෙන් වෙමු අද හවසට
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න

කළු වලාව නැඟෙන්න එපා
ගඟට උඩින් හැන්දෑවට
මුදුන් ලීය යටින් පොළවේ
ගොම හේදෙයි අලුත් පිටම

කන්ද කපා හඳ පායා
සඳ රැස් යහනට වඩින්න
සඳ එලියෙන් ඇගේ ගතේ
පිපි ගෝමර මල් දකින්න

කඳුල ඉතින් සමා වෙයන්
අපි වෙන් වෙමු අද හවසට
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න

මල් දෙවැටේ වතුසුදු මල්
පිපේවී ඈ පිළිගන්නට
කොපුල් තලා ඔමරි සිනා
මතු වෙයි මල් පරදන්නට
බිළිඳු ගෙනා කිරි සුවදක්
ගෙපැල දොරෙන් හමා එන්න
ඉඩ දීයන් වලා කුලේ
මගේ හීනයේ මල් පිපෙන්න

කඳුල ඉතින් සමා වෙයන්
අපි වෙන් වෙමු අද හවසට
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න

කඳුල ඉතින් සමා වෙයන්
අපි වෙන් වෙමු අද හවසට
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න
මගේ ගෙපැලට ඇය එනවා
සිරි යහනේ තනි රකින්න
මගේ ගෙපැලට ඇය එනවා",ලක්මාලි කාරියවසම්,"[{""songPart"":""කඳුල ඉතින් සමා වෙයන්\nඅපි වෙන් වෙමු අද හවසට"",""interpretaion"":""අද දවසින් මගේ ජීවිතේ තිබුන දුක නැති වෙනවා"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""කඳුල"",""targetDomain"":""දුක""},{""songPart"":""සිරි යහනේ තනි රකින්න"",""interpretaion"":""ඔහු සමග එකට ජීවත් වෙන්න"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""තනි රැකීම"",""targetDomain"":""එකට ජීවත් වීම""},{""songPart"":""පිපි ගෝමර මල්"",""interpretaion"":""ලස්සන"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""මල්"",""targetDomain"":""ලස්සන""},{""songPart"":""බිළිඳු"",""interpretaion"":""අලුත්/නව"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""බිළිදන්"",""targetDomain"":""අලුත් දේවල්""}]"
සොඳුරු සීතල යාමේ,2014,දම් පාට හැන්දෑවේ,"රකිත, ටීෂා","සොඳුරු සීතල යාමේ
ඔබට ළං වී රහසේ
උණුසුමේ හැංගීලා
පාවෙමුද ආකාසේ
දම් පාට හැන්දෑවේ
හිරු බසින මේ යාමේ
සුළගෙ අප දැවටීලා
පිය නගමු ළඟටම වී

හද ගැහෙන හැම වේලේ
ඔබවමයි මා පැතුවේ
හිම කන්දකින් සඟවා
ගන්න බෑ උණුසුම මේ
ඇස් පියන් මත දැවටී
යන්න එපා ඔබ වෙන්වී
ඔබ සුවඳ මා දිවියේ
හුස්ම සේ ඇත ළං වී

සොඳුරු සීතල යාමේ
ඔබට ළං වී රහසේ
උණුසුමේ හැංගීලා
පාවෙමුද ආකාසේ
දම් පාට හැන්දෑවේ
හිරු බසින මේ යාමේ
සුළගෙ අප දැවටීලා
පිය නගමු ළඟටම වී

අම්බරේ රං ඉර සේ
මගෙ ලොවේ පෑයූවේ
මල් සුවඳ පරදවනා
සුවඳ ඔබමයි මාගේ
තරු රෑන සේ දිලෙනා
ඔබෙ නෙතේ ආලෝකේ
ඔබයි මගේ සඳ කිඳුරී
දිවිය ඇති තෙක් මාගේ

දම් පාට හැන්දෑවේ
හිරු බසින මේ යාමේ
සුළගෙ අප දැවටීලා
පිය නගමු ළඟටම වී
සොඳුරු සීතල යාමේ
ඔබට ළං වී රහසේ
උණුසුමේ හැංගීලා
පාවෙමුද ආකාසේ

නෙතුවිලේ පායාලා
ඉන්න රන් තරුව සේ
සිත් හැගුම් පුබුදාලා
ළං වෙමුද මේ යාමේ
දේදුන්න වෙත පියඹා
පාට තවරා සිහිනේ
ඔබ මගේ මා ඔබගේ
ලියමු අපි අම්බරයේ",සචින්,"[{""songPart"":""පාවෙමුද ආකාසේ"",""interpretaion"":""ආදරයේ පහස විඳ ගමු"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""අහස"",""targetDomain"":""ආදරය""},{""songPart"":""හිම කන්දකින් සඟවා\nගන්න බෑ උණුසුම මේ"",""interpretaion"":""ඔබට තියෙන ආදරය ශක්තිමත්"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""හිම කන්ද"",""targetDomain"":""ආදරය""},{""songPart"":""අම්බරේ රං ඉර සේ\nමගෙ ලොවේ පෑයූවේ"",""interpretaion"":""ඔබ මගේ ජීවිතයට ආලෝකයක් වුනා"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""ඉර"",""targetDomain"":""ජීවිතයට ආලෝකය""},{""songPart"":""සඳ කිඳුරී"",""interpretaion"":""ඇය ලස්සන බව කියැවීම"",""type"":""සම්මත රූපකය"",""sourceDomain"":""කිඳුරිය"",""targetDomain"":""ලස්සන""}]"
රන්වන් මල්දම්,2009,රූසිරී,සෙන්ටිග්‍රේඩ්ස්,"රන්වන් මල්දම් සොද ගොතා මා අතින්
ගෙන නිල් වරලස හැඩ දමා සිතින්
මන්මත් කරදා මුදු සිනහ මල් සරින්
සැනසෙන්නම් සොඳුර නුඹ මතින්

රන්වන් මල්දම් සොද ගොතා මා අතින්
ගෙන නිල් වරලස හැඩ දමා සිතින්
මන්මත් කරදා මුදු සිනහ මල් සරින්
සැනහෙන්නම් සොඳුර නුඹ මතින්

ඔය මුදු පහසෙ දැවටෙන්න මගෙ ජීවිතේ
සඳ කිරණක්ව සරසන්න මගෙ ආදරේ
මට පවසන්න ඔය නෙතඟෙ බැඳි ආදරේ
මගෙ හිත තාම නුඹ ගාව රැඳිලා තියේ

තුරුලට රැගෙන ආදරෙන් සිඹිමින්
හැඟුමක පැහැය නුඹෙ දෙතොලෙ තබමින්
හෙමිහිට ළමැද මත හුස්ම තබමින්
සෙනෙහෙස පතමි නුඹෙ දැහැනෙ රැඳෙමින්

තුරුලට රැගෙන ආදරෙන් සිඹිමින්
හැඟුමක පැහැය නුඹෙ දෙතොලෙ තබමින්
යහනක සතපවා සිහින දකිමින්
මියැදුණු සඳක නුඹ පතමි ස්නේහෙන්

Now ma take you back to the year 94
I was pulling like a Ferrari the night before
I got up 4 to 5, 6 in ma studio
We don't wave 4 5's just to rock the show
You don't have to do drugs to be a rap star
Listen up you before trying being gangster
You want to know how I do it so lighter
I'll score ma goals like Manchester United

ඔය මුදු පහසෙ දැවටෙන්න මගෙ ජීවිතේ
සඳ කිරණක්ව සරසන්න මගෙ ආදරේ
මට පවසන්න ඔය නෙතඟෙ බැඳි ආදරේ
මගෙ හිත තාම නුඹ ගාව රැඳිලා තියේ",සජිත් දිල්පහන්,"[{""songPart"":""සඳ කිරණක්ව සරසන්න මගෙ ආදරේ"",""interpretaion"":""මගේ ආදරය ආලෝකවත් කරන්න"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""සඳ කිරණ"",""targetDomain"":""ආදරය""}]"
සුළග සේ පාවී,2006,උරුමය,සෙන්ටිග්‍රේඩ්ස්,"සුළග සේ පාවී
ඈ යලි යාවි
මා යලි තනිවී පෙර ලෙසේ
පෙර දිනේ හමු වී
රහසින් තනි වී
කී බස් ගොලු වී
අද මෙසේ
ඈ... යලි නොයේ
සිහිනයේ පෙර ලෙසේ
මා... තනි වෙලා නොසිතුසේ මේ රැයේ

හේ හේ හේ ... ආ හා ආ
ඒ මාවතේ ඔබ එදා හමු වෙලා
ඒ කී කතා බොද වෙලා වියැකිලා
සුළග සේ පාවී
ඈ යලී යාවි

මා යලි තනිවී පෙර ලෙසේ
පෙර දිනේ හමුවී රහසින් තනිවී

කී බස් ගොලූ වී අද මෙසේ
සුළග සේ පාවී
ඈ යලි යාවි
මා යලි තනි වී
පෙර ලෙසේ
පෙරදිනේ හමු වී රහසින් තනිවී
කී බස් ගොලු වී අද මෙසේ",සෙන්ටිග්‍රේඩ්ස්,"[{""songPart"":""සුළග සේ පාවී"",""interpretaion"":""ශනයකින් යනවා"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""සුළග"",""targetDomain"":""ඉක්මනින්""},{""songPart"":""කී බස් ගොලු වී"",""interpretaion"":""යලි මුන නොගැසීම සහ කතා නොකිරීම"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""ගොලු බාවය"",""targetDomain"":""යලි මුන නොගැසීම""}]"
ඉස්සර බෑදි පෙම,2019,ඉස්සර බෑදි පෙම,සෝමසිරි මැදගෙදර,"ඉස්සර බෑදි පෙම
හිත්වල සුවදයි
යලි පුබුදන්න බෑරී
එක්කර අතෑගිලි
ඔබ ඔහු සමගයි
මට ඉවසන්න හෑකී

ඉස්සර බෑදි පෙම
හිත්වල සුවදයි
යලි පුබුදන්න බෑරී
එක්කර අතෑගිලි
ඔබ ඔහු සමගයි
මට ඉවසන්න හෑකී

ඔබ පියමන්කල
සමනළ මාවත
මට යා ගන්න බෑරී
ඔබ පතනා ලොව
ඔබ ලබනා දින
මගෙ හිත සතුට දකී

ඔබ පියමන්කල
සමනළ මාවත
මට යා ගන්න බෑරී
ඔබ පතනා ලොව
ඔබ ලබනා දින
මගෙ හිත සතුට දකී

ඉස්සර බෑදි පෙම
හිත්වල සුවදයි
යලි පුබුදන්න බෑරී
එක්කර අතෑගිලි
ඔබ ඔහු සමගයි
මට ඉවසන්න හෑකී

මගෙ අසරණ ලොව
අද මා පමණකි
එය සගවන්න බෑරී
එක්කල දෑගිලි
වෙන් නොම වේවා
පතනෙමි සුබාසිරී...

මගෙ අසරණ ලොව
අද මා පමණකි
එය සගවන්න බෑරී
එක්කල දෑගිලි
වෙන් නොම වේවා
පතනෙමි සුබාසිරී...

ඉස්සර බෑදි පෙම
හිත්වල සුවදයි
යලි පුබුදන්න බෑරී
එක්කර අතෑගිලි
ඔබ ඔහු සමගයි
මට ඉවසන්න හෑකී",බන්දුල ජයසිංහ,"[{""songPart"":""හිත්වල සුවදයි"",""interpretaion"":""තවම මතකයි"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""සුවදයි"",""targetDomain"":""මතකයි""},{""songPart"":""ඔබ පියමන්කල\nසමනළ මාවත"",""interpretaion"":""ඔබ ජීවිතය සාර්ථක කරගත් ආකාරය"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""සමනළ මාවත"",""targetDomain"":""සාර්ථකත්වය""},{""songPart"":""ඔබ පතනා ලොව"",""interpretaion"":""ඔබ බලාපොරොත්තු වෙන දෙය"",""type"":""දෘෂ්ය රූපකය"",""sourceDomain"":""ලෝකය"",""targetDomain"":""බලාපොරොත්තුව""},{""songPart"":""එක්කල දෑගිලි"",""interpretaion"":""විවාහය"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""දෑගිලි බැදීම"",""targetDomain"":""විවාහය""},{""songPart"":""එක්කර අතෑගිලි"",""interpretaion"":""විවාහය"",""type"":""ව්යංග රූපකය"",""sourceDomain"":"""",""targetDomain"":""විවාහය""}]"
සුවඳ තියා මා ළඟ,2020,"ඉහළම සිංහල ගීත, වෙළුම. 55",චන්දන ලියනාරච්චි,"සුවඳ තියා මා ළඟ
ඔබ අරං යන්න මල්
නෙත නිලුපුල්
වත රතුපුල්
නෙත නිලුපුල් වත රතුපුල්
කොඳ කැකුළු සිනා මල්
සුවඳ තියා මා ළඟ
ඔබ අරං යන්න මල්
නෙත නිලුපුල්
වත රතුපුල්
නෙත නිලුපුල් වත රතුපුල්
කොඳ කැකුළු සිනා මල්
මේ අහස යට ම කොතැනක හෝ
ඔබ ඉන්නවා නම්
මම ඉන්නම් ඒ සුවඳ තියන්
යළි ඔබ එනකල්
මේ අහස යට ම කොතැනක හෝ
ඔබ ඉන්නවා නම්
මම ඉන්නම් ඒ සුවඳ තියන්
යළි ඔබ එනකල්
සුවඳ තියා මා ළඟ
ඔබ අරං යන්න මල්
නෙත නිලුපුල්
වත රතුපුල්
නෙත නිලුපුල් වත රතුපුල්
කොඳ කැකුළු සිනා මල්
රජ සිටු මැතිවරු මිලට අරන් වසන්ත සල්පිල්
මට කියන්න, ඔබ ඇර කොයින්ද මිල නො කළැකි මල්?
රජ සිටු මැතිවරු මිලට අරන් වසන්ත සල්පිල්
මට කියන්න, ඔබ ඇර කොයින්ද මිල නො කළැකි මල්?
සුවඳ තියා මා ළඟ
ඔබ අරං යන්න මල්
නෙත නිලුපුල්
වත රතුපුල්
නෙත නිලුපුල් වත රතුපුල්
කොඳ කැකුළු සිනා මල්
සුවඳ තියා මා ළඟ
ඔබ අරං යන්න මල්
නෙත නිලුපුල්
වත රතුපුල්
නෙත නිලුපුල් වත රතුපුල්
කොඳ කැකුළු සිනා මල්",රත්න ශ්‍රී විජේසිංහ,"[{""songPart"":""මට කියන්න, ඔබ ඇර කොයින්ද මිල නො කළැකි මල්"",""interpretaion"":""ඔබ මට ඉතා වටින බව පැවසීම"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""මිල නො කළැකි මල"",""targetDomain"":""ඉතා වටින බව""}]"
විසිරුනු මල් පෙති,2020,ඉහළම සිංහල ගීත VOL. A (සජීවී),අතුල අධිකාරි,"විසිරුනු මල් පෙති දෝතට ගත් කුමරි
ඒ පෙති එක් කර මලක් සොයන බොලඳි
සරදම් නොකරමි ආදරයෙන් කියමි
විසිරුනු පෙති යලි මලක් නොවේ නැගණි

විසිරුනු මල් පෙති දෝතට ගත් කුමරි
ඒ පෙති එක් කර මලක් සොයන බොලඳි
සරදම් නොකරමි ආදරයෙන් කියමි
විසිරුනු පෙති යලි මලක් නොවේ නැගණි

වෙරළ සොයා රළ පෙළ දිව ආවත්
වෙරළට කිසිදා දියඹ දකිනු හැකිදෝ
බඳට පියාපත් යුවලක් ලැබුනත්
අහසේ දෙකලවර නුඹට දිනනු හැකිදෝ

විසිරුනු මල් පෙති දෝතට ගත් කුමරි
ඒ පෙති එක් කර මලක් සොයන බොලඳි
සරදම් නොකරමි ආදරයෙන් කියමි
විසිරුනු පෙති යලි මලක් නොවේ නැගණි

බඹරුන් පසුපස මල් දිව නොගියත්
අවමන් වින්දේ මල් කුලයම නොවෙදෝ
මෙදහම් නුවණින් නුඹ නොදුටුවොතින්
නුඹේ සුසුම් ගිනි බොල් අහසම නොවෙදෝ

විසිරුනු මල් පෙති දෝතට ගත් කුමරි
ඒ පෙති එක් කර මලක් සොයන බොලඳි
සරදම් නොකරමි ආදරයෙන් කියමි
විසිරුනු පෙති යලි මලක් නොවේ නැගණි",බන්දුල නානායක්කාරවසම්,"[{""songPart"":""විසිරුනු මල් පෙති දෝතට ගත් කුමරි\nඒ පෙති එක් කර මලක් සොයන බොලඳි\nසරදම් නොකරමි ආදරයෙන් කියමි\nවිසිරුනු පෙති යලි මලක් නොවේ නැගණි"",""interpretaion"":""බිදුනු සිතක් යලි සෑදිය නොහැක"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""විසිරුනු මල් පෙති"",""targetDomain"":""සිත""},{""songPart"":""වෙරළ සොයා රළ පෙළ දිව ආවත්\nවෙරළට කිසිදා දියඹ දකිනු හැකිදෝ"",""interpretaion"":""කෙසේවත් කල නොහැකි දෙයක් බව හැගවීම"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""වෙරළ රළ"",""targetDomain"":""සිදු නොවන බව""},{""songPart"":""බඳට පියාපත් යුවලක් ලැබුනත්\nඅහසේ දෙකලවර නුඹට දිනනු හැකිදෝ"",""interpretaion"":""කෙසේවත් කල නොහැකි දෙයක් බව හැගවීම"",""type"":""විස්තීරණ රූපකය"",""sourceDomain"":""විසිරුනු මල් පෙති"",""targetDomain"":""සිදු නොවන බව""}]"
රැස් විහිදෙන සමනලියකගෙන්,2013,භාතිය සහ සන්තුෂ්ගේ හොඳම - Hit Singles,භාතිය සහ සන්තුෂ්,"රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට
පාවී ගොස් උඩු යටිකුරු වී
නෙත් තෙමුනාම
දිරි දෙන්නම් මුළු හද පත්ලෙන්
මහමෙර සේම

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට

සියැසින් දුටු සිහිනයකින්
පහසක් ගෙන එන්නම්
හැබැහින් විද ගන්න
රහසින් ගෑ මුදු සුවදින්
හුස්මක් පුරවන්නම්
ළමැදේ බිහි වෙන්න

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට
පාවී ගොස් උඩු යටිකුරු වී
නෙත් තෙමුනාම
දිරි දෙන්නම් මුළු හද පත්ලෙන්
මහමෙර සේම

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට

සුසුමින් හුන්මිටි තබමින්
තනියෙන් ඉන්නවනම්
ඉන්නම් දුක ගන්න
ගලනා දා බිදු පිසිමින්
වත්සුනු තවරන්නම්
ඉරණම පෙරලන්න

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට
පාවී ගොස් උඩු යටිකුරු වී
නෙත් තෙමුනාම
දිරි දෙන්නම් මුළු හද පත්ලෙන්
මහමෙර සේම

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට

රැස් විහිදෙන සමනලියකගෙන්
ඉගියක් ලැබුනාම
රැක ගන්නම් දුර අවකාශේ
ඉගිලී යන දාට",භාතිය සහ සන්තුෂ්,"[{""songPart"":""රැස් විහිදෙන සමනලියකගෙන්"",""interpretaion"":""ඇය ලස්සන බව කියැවීම"",""type"":""සම්මත රූපකය"",""sourceDomain"":""සමනලියක්"",""targetDomain"":""ලස්සන""},{""songPart"":""පාවී ගොස් උඩු යටිකුරු වී"",""interpretaion"":""කරදරයක් වුනු දාට"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""උඩු යටිකුරු වීම"",""targetDomain"":""කරදරයක් වීම""},{""songPart"":""ගලනා දා බිදු පිසිමින්"",""interpretaion"":""මහන්සිය මග හැරවන්නම්"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""ගලනා දා බිදු"",""targetDomain"":""මහන්සිය""}]"
මට ආලෝකේ ගෙනදේවි සංසාරයේ,2014,රස රිසි ගී,ඉරාජ් වීරරත්න,"මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මගෙ ජීවන හදේ බැමි ස්ථිරවේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මනහාරීවේ මෙනිවස දේ පින මා
මනහාරිවේ මෙනිවස දේ පින මා
ලෝකෙ නිම් නෑ සෙනේහෙ මැවූ රන් රහා
ලෝකෙ නිම් නෑ සෙනේහෙ මැවූ රන් රහා
තිර මා ආලෙ හෘදේහි දුල්සාර වේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මගෙ ජීවනය රස මල් සිනාවෙන් වෙලී
මගෙ ජීවනය රස මල් සිනාවෙන් වෙලී
සිත සැනසිල්ල හිමි පාද සෙවණේ සැදී
සිත සැනසිල්ල හිමි පාද සෙවණේ සැදී
නෙක හැඩපා ඔබේ පාද පරිචාරිකා
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
ලෝකයේ මේ වගේ කොයිද රස කන්කළු
ලෝකයේ මේ වගේ කොයිද රස කන්කළු
සෑදේ මහදේ මෙ සැමියාට ආලේ කෙරූ
සෑදේ මහදේ මෙ සැමියාට ආලේ කෙරූ
මාගේ පූජා පියා මාගෙ නිර්වාණෙ වේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මගෙ ජීවන හදේ බැමි ස්ථිරවේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ
මට ආලෝකේ ගෙනදේවි සංසාරයේ",ඉරාජ් වීරරත්න,"[{""songPart"":""මට ආලෝකේ ගෙනදේවි"",""interpretaion"":""මගේ ජීවිතය සර්ථක කරනවා"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""ආලෝකය"",""targetDomain"":""සර්ථකත්වය""},{""songPart"":""ආලෙ හෘදේහි දුල්සාර වේ"",""interpretaion"":""ආලය වර්දනය වෙයි"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""දුල්සාර වේ"",""targetDomain"":""වර්දනය""}]"
බඹර පැටික්කා,2012,ඉරාජ්ගේ හොඳම,"ඉරාජ් වීරරත්න, සමිතා මුදුන්කොටුව, ","හොඳට මත්වුණ බඹර පැටික්කා
පදම ඉක්මුව බවද හැඟෙව්වා
නෙතග මල් නෙත ඇහැ වහගත්තා
නුඹට මල් පැණි මදිවද මන්දා

හොඳට මත්වුණ බඹර පැටික්කා
නුඹට මල් පැණි මදිවද මන්දා
නෙතග මල් නෙත ඇහැ වහගත්තා
නුඹට මල් පැණි මදිවද මන්දා
හොඳට මත්වුණ බඹර පැටික්කා
පදම ඉක්මුව බවද හැඟෙව්වා

හඳපානේ
නටන්න බැරි එක දුකයි තමා
සුදු මූණේ
ඉඹින්න බැරි තොල් තෙතයි තමා
මම කී දේ
ඇගෙන් නොලත් දේ ඔබෙන් එපා
හැර යන්නේ
ඇගෙ හිත හොඳටම පළුදු වෙලා

මට නටන්න බැරි එක දුකයි තමයි
මගෙ කෙල්ල දැක්කොත් මගෙ ඔළුවම කයි
ඒත් මොනවද කරන්නෙ ඔයයි මමයි
මට පොඩ්ඩක් හයි වගේ දැණෙනවමයි

හොඳට මත්වුණ බඹර පැටික්කා
පදම ඉක්මුව බවද හැඟෙව්වා
නෙතග මල් නෙත ඇහැ වහගත්තා
නුඹට මල් පැණි මදිවද මන්දා

එනවානේ
තුරුල් වෙන්නෙ පපුවටයි ඔයා
යනවානේ
බලාගන්න මම වැටෙයි මෙයා
සැනසෙන්නේ
මධුවිත තොලගා තුරුළු වෙලා
නැලවෙන්නේ
හදාගන්න හිත තියෙන නිසා

දැන්නම් අනෙ මට ගොඩක්ම හයි
මට ඩබල් වෙලා අනෙ පෙනෙන්නෙ ඇයි
මගෙ යාළුවෙ සෙට්එක තාමත් බොයි
දැන් කාර්එක නම් මට ඩ්රයිව් කරන්න වෙයි

හොඳට මත්වුණ බඹර පැටික්කා
පදම ඉක්මුව බවද හැඟෙව්වා
නෙතග මල් නෙත ඇහැ වහගත්තා
නුඹට මල් පැණි මදිවද මන්දා",හමු වුණේ නැත,"[{""songPart"":""බඹර පැටික්කා"",""interpretaion"":""මදය්‍යසාර පානය කල කෙනෙකුන්"",""type"":""සම්මත රූපකය"",""sourceDomain"":""බඹරා"",""targetDomain"":""මදය්‍යසාර පානය කල කෙනෙකුන්""},{""songPart"":""මල් පැණි"",""interpretaion"":""මදය්‍යසාර"",""type"":""සම්මත රූපකය"",""sourceDomain"":""පැණි"",""targetDomain"":""මත් වතුර""},{""songPart"":""පදම ඉක්මුව"",""interpretaion"":""පමනට වැඩි වීම"",""type"":""ව්යංග රූපකය"",""sourceDomain"":""පදම"",""targetDomain"":""පමන""}]"
ලංවෙලා හිම සීතේ,2020,අන්තිම ආදරයයි,උදේශ් ඉන්දුල,"ලංවෙලා හිම සීතේ
පා නුරා නිල් දෑසේ
පෑ සෙනෙහෙන්
මා මත් වෙලා
නිල් ගැබේ පායනා
පුන්සඳේ රැස් පවා
සිනාසි අපේ දිහා බලා උන්නා

ලංවෙලා හිම සීතේ
පා නුරා නිල් දෑසේ
පෑ සෙනෙහෙන්
මා මත් වෙලා

සුමුදු මල් පියල්ලේ
රූ දෙතොල් සිනාසි
මා හද විලේ ඔබ හැංඟුනා
ඔය දෑතේ මුදු පහසින් මා
කිති කැවිලා
ඔබේ පෙම් තුරැල්ලේ උණුසුම් උනා

ලංවෙලා හිම සීතේ
පා නුරා නිල් දෑසේ
පෑ සෙනෙහෙන්
මා මත් වෙලා

මහද රන් විමානේ
ලැගුම් ගත් සුගන්දි
මේ නිල් විලේ අද හැන්ගිලා
හැමු සුලගේ මුසු සුවදින්
මා හද සලා
තැනූ පෙම් කැදැල්ලේ මා තනිකලා

ලංවෙලා හිම සීතේ
පා නුරා නිල් දෑසේ
පෑ සෙනෙහෙන්
මා මත් වෙලා
නිල් ගැබේ පායනා
පුන්සඳේ රැස් පවා
සිනාසි අපේ දිහා බලා උන්නා

ලංවෙලා හිම සීතේ
පා නුරා නිල් දෑසේ
පෑ සෙනෙහෙන්
මා මත් වෙලා",නන්දන වික්‍රමගේ,"[{""songPart"":""සුමුදු මල් පියල්ලේ"",""interpretaion"":""ඇය ලස්සන බව කියැවීම"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මල් පියල්ල"",""targetDomain"":""ලස්සන""},{""songPart"":""සුගන්දි"",""interpretaion"":""ඇය ලස්සන බව කියැවීම"",""type"":""සම්මත රූපකය"",""sourceDomain"":""මල"",""targetDomain"":""ලස්සන""},{""songPart"":""මේ නිල් විලේ අද හැන්ගිලා"",""interpretaion"":""නැති වී ගිහින්"",""type"":""මිශ්‍ර රූපකය"",""sourceDomain"":""හැන්ගිලා"",""targetDomain"":""මිය යාම""}]"
